# file...... output/IEEE_123_feeder_0_swing_node.csv,,,,,,,
# date...... Thu Nov  1 09:19:54 2018,,,,,,,
# user...... gkris756,,,,,,,
# host...... (null),,,,,,,
# target.... meter 187,,,,,,,
# trigger... (none),,,,,,,
# interval.. 30,,,,,,,
# limit..... 0,,,,,,,
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-08-28 00:06:30 PST,+154.391-45.434j,-68.7139-65.0859j,-28.0137+109.105j,+6600.16+22.1735j,-3280.82-5727.08j,-3319.36+5704.82j,+2.3316e+06+685636j
2013-08-28 00:07:00 PST,+152.102-46.1823j,-68.3195-64.635j,-29.2679+110.762j,+6599.81+21.6535j,-3281.1-5726.51j,-3318.72+5704.78j,+2.32614e+06+687867j
2013-08-28 00:07:30 PST,+144.513-43.9987j,-65.5337-62.657j,-29.0392+116.135j,+6599.8+21.859j,-3280.92-5726.6j,-3318.88+5704.67j,+2.28551e+06+683034j
2013-08-28 00:08:00 PST,+140.09-42.0322j,-61.757-60.0541j,-28.6187+115.582j,+6600.29+23.473j,-3279.77-5727.83j,-3320.51+5704.28j,+2.22452e+06+658025j
2013-08-28 00:08:30 PST,+137.522-40.8211j,-62.1075-60.0601j,-26.8859+115.945j,+6600.52+24.2395j,-3279.22-5728.41j,-3321.29+5704.09j,+2.20509e+06+663326j
2013-08-28 00:09:00 PST,+138.665-41.7664j,-62.4996-60.065j,-26.6784+113.545j,+6600.35+24.375j,-3279.02-5728.33j,-3321.33+5703.88j,+2.19948e+06+665068j
2013-08-28 00:09:30 PST,+135.382-40.5004j,-60.1079-58.4194j,-26.4507+111.847j,+6600.83+25.6368j,-3278.17-5729.38j,-3322.66+5703.67j,+2.15017e+06+644445j
2013-08-28 00:10:00 PST,+126.596-36.2277j,-59.4976-57.7827j,-28.968+112.972j,+6602.52+28.9572j,-3276.14-5732.48j,-3326.36+5703.47j,+2.10166e+06+605192j
2013-08-28 00:10:30 PST,+124.617-35.4645j,-63.1224-59.9307j,-29.9637+112.453j,+6602.95+29.4584j,-3275.93-5733.11j,-3327.01+5703.6j,+2.11324e+06+606630j
2013-08-28 00:11:00 PST,+130.232-37.1501j,-63.1018-59.8943j,-29.9377+111.057j,+6602.79+28.4426j,-3276.72-5732.46j,-3326.06+5703.96j,+2.14198e+06+613087j
2013-08-28 00:11:30 PST,+132.176-38.2383j,-61.0824-58.5626j,-27.1756+104.755j,+6602.73+28.3482j,-3276.77-5732.37j,-3325.96+5703.95j,+2.0954e+06+607877j
2013-08-28 00:12:00 PST,+129.124-38.0862j,-61.0562-58.4709j,-25.7071+102.716j,+6602.97+29.5693j,-3275.83-5733.19j,-3327.14+5703.55j,+2.05809e+06+608935j
2013-08-28 00:12:30 PST,+128.542-37.8192j,-59.9278-57.8816j,-25.6225+100.985j,+6603.03+30.4448j,-3275.11-5733.68j,-3327.93+5703.17j,+2.03697e+06+597615j
2013-08-28 00:13:00 PST,+132.928-40.2552j,-61.1345-58.6324j,-25.6794+102.589j,+6602.9+30.16j,-3275.29-5733.43j,-3327.62+5703.2j,+2.08343e+06+623205j
2013-08-28 00:13:30 PST,+137.275-41.0403j,-61.8636-59.0565j,-25.5595+100.393j,+6602.53+29.3734j,-3275.78-5732.72j,-3326.76+5703.27j,+2.10396e+06+624404j
2013-08-28 00:14:00 PST,+134.172-39.6729j,-58.8922-57.0352j,-25.3387+98.4184j,+6602.68+29.3574j,-3275.87-5732.84j,-3326.82+5703.41j,+2.05024e+06+599570j
2013-08-28 00:14:30 PST,+131.345-38.3906j,-56.7029-55.6154j,-26.7645+102.279j,+6603.2+30.2875j,-3275.32-5733.75j,-3327.88+5703.39j,+2.04314e+06+588164j
2013-08-28 00:15:00 PST,+125.223-36.5315j,-57.5139-56.174j,-26.9698+106.162j,+6604.21+34.915j,-3271.83-5736.93j,-3332.37+5701.95j,+2.03137e+06+591787j
2013-08-28 00:15:30 PST,+122.004-34.8936j,-58.3613-56.5413j,-25.5256+102.804j,+6604.4+35.3787j,-3271.52-5737.32j,-3332.87+5701.89j,+1.9911e+06+581716j
2013-08-28 00:16:00 PST,+121.82-33.725j,-56.9992-55.5875j,-28.0141+107.32j,+6604.41+35.798j,-3271.16-5737.54j,-3333.23+5701.68j,+2.01401e+06+570289j
2013-08-28 00:16:30 PST,+125.023-35.4556j,-57.5019-55.8898j,-27.9548+105.353j,+6604.42+34.9507j,-3271.9-5737.13j,-3332.51+5702.12j,+2.02715e+06+577251j
2013-08-28 00:17:00 PST,+127.981-37.1846j,-58.1424-56.2982j,-28.0514+108.805j,+6603.91+33.8724j,-3272.57-5736.15j,-3331.32+5702.21j,+2.071e+06+601682j
2013-08-28 00:17:30 PST,+123.728-36.1996j,-57.8343-56.0742j,-25.3602+104.028j,+6604.01+34.1242j,-3272.41-5736.37j,-3331.59+5702.18j,+2.00446e+06+593518j
2013-08-28 00:18:00 PST,+124.467-36.76j,-57.4871-55.7585j,-26.865+108.393j,+6603.88+34.8054j,-3271.76-5736.6j,-3332.11+5701.73j,+2.03618e+06+602442j
2013-08-28 00:18:30 PST,+126.657-37.9103j,-57.5594-55.7435j,-26.767+103.1j,+6604.07+34.904j,-3271.76-5736.81j,-3332.3+5701.84j,+2.0203e+06+593550j
2013-08-28 00:19:00 PST,+123.477-36.183j,-57.602-55.7865j,-26.8062+104.847j,+6604.11+34.9596j,-3271.74-5736.86j,-3332.36+5701.84j,+2.00984e+06+587753j
2013-08-28 00:19:30 PST,+126.251-37.6216j,-59.5485-56.8171j,-25.1538+97.0777j,+6604.22+35.5693j,-3271.26-5737.26j,-3332.96+5701.63j,+1.99056e+06+588872j
2013-08-28 00:20:00 PST,+126.071-37.6036j,-57.7573-55.6128j,-25.0525+97.6267j,+6604.24+38.3481j,-3268.87-5738.68j,-3335.38+5700.27j,+1.97917e+06+585654j
2013-08-28 00:20:30 PST,+123.284-36.2128j,-56.6315-54.897j,-24.926+96.2898j,+6604.41+38.7996j,-3268.56-5739.05j,-3335.85+5700.19j,+1.94499e+06+568650j
2013-08-28 00:21:00 PST,+121.559-35.3738j,-55.5349-54.1754j,-25.0343+99.5973j,+6604.72+39.5177j,-3268.09-5739.67j,-3336.62+5700.09j,+1.94515e+06+569760j
2013-08-28 00:21:30 PST,+122.662-36.1155j,-56.7635-54.9172j,-25.0493+99.6762j,+6604.48+39.0315j,-3268.4-5739.23j,-3336.08+5700.13j,+1.96115e+06+579343j
2013-08-28 00:22:00 PST,+121.873-35.9577j,-55.1183-53.7166j,-24.8775+98.9333j,+6604.46+39.0284j,-3268.39-5739.21j,-3336.07+5700.12j,+1.93886e+06+571250j
2013-08-28 00:22:30 PST,+125.321-37.9271j,-55.4988-53.9981j,-26.4772+105.518j,+6604.58+39.4125j,-3268.11-5739.51j,-3336.45+5700.03j,+2.00729e+06+598630j
2013-08-28 00:23:00 PST,+124.723-37.8379j,-55.3513-53.8614j,-29.0071+108.036j,+6604.36+38.6702j,-3268.65-5738.95j,-3335.7+5700.21j,+2.02487e+06+591352j
2013-08-28 00:23:30 PST,+120.431-35.6971j,-55.3525-53.8528j,-29.0423+109.86j,+6604.19+37.6601j,-3269.44-5738.29j,-3334.73+5700.57j,+2.00711e+06+582641j
2013-08-28 00:24:00 PST,+116.567-32.637j,-55.7456-54.0203j,-27.6588+107.148j,+6604.72+38.8448j,-3268.68-5739.33j,-3336.01+5700.43j,+1.96393e+06+563233j
2013-08-28 00:24:30 PST,+114.372-31.2838j,-54.4938-53.1671j,-24.8082+99.9751j,+6604.73+38.9431j,-3268.6-5739.39j,-3336.12+5700.39j,+1.8901e+06+542166j
2013-08-28 00:25:00 PST,+113.959-32.1798j,-55.8949-54.0772j,-24.9384+101.267j,+6604.65+41.8911j,-3266.01-5740.79j,-3338.63+5698.85j,+1.90467e+06+557547j
2013-08-28 00:25:30 PST,+115.956-33.3224j,-56.8204-54.6498j,-24.8768+101.592j,+6604.58+42.0322j,-3265.85-5740.8j,-3338.72+5698.72j,+1.92574e+06+570090j
2013-08-28 00:26:00 PST,+122.694-36.9118j,-58.8369-55.8073j,-24.8547+103.695j,+6604.12+41.0699j,-3266.46-5739.93j,-3337.66+5698.8j,+1.99519e+06+608695j
2013-08-28 00:26:30 PST,+129.043-40.2985j,-60.0219-56.5166j,-24.6718+101.828j,+6603.66+40.1094j,-3267.05-5739.06j,-3336.61+5698.88j,+2.03361e+06+630279j
2013-08-28 00:27:00 PST,+127.604-39.5427j,-58.3359-55.3638j,-24.5298+98.5252j,+6603.41+39.6185j,-3267.35-5738.6j,-3336.06+5698.91j,+1.99269e+06+608939j
2013-08-28 00:27:30 PST,+121.254-36.3304j,-53.3775-52.1837j,-24.4103+96.3721j,+6604.02+40.9907j,-3266.47-5739.81j,-3337.55+5698.76j,+1.90383e+06+563356j
2013-08-28 00:28:00 PST,+116.662-34.0636j,-54.1435-52.6302j,-24.2989+95.8982j,+6604.48+42.0336j,-3265.8-5740.72j,-3338.68+5698.63j,+1.87563e+06+550523j
2013-08-28 00:28:30 PST,+115.049-33.2409j,-53.1222-51.9634j,-25.6341+97.4646j,+6605.08+43.0834j,-3265.19-5741.76j,-3339.88+5698.62j,+1.87132e+06+539300j
2013-08-28 00:29:00 PST,+115.166-33.4368j,-54.4383-52.7945j,-25.5224+97.1506j,+6604.76+42.4109j,-3265.62-5741.15j,-3339.14+5698.69j,+1.87895e+06+544814j
2013-08-28 00:29:30 PST,+118.537-35.2102j,-53.6887-52.3413j,-24.1653+95.4753j,+6604.67+42.5757j,-3265.42-5741.16j,-3339.24+5698.52j,+1.88197e+06+556026j
2013-08-28 00:30:00 PST,+115.539-33.824j,-52.3381-51.3964j,-24.1119+95.6968j,+6605.03+44.7775j,-3263.7-5742.57j,-3341.32+5697.73j,+1.85341e+06+543766j
2013-08-28 00:30:30 PST,+110.288-31.1566j,-52.7263-51.7246j,-24.2214+98.3631j,+6605.47+45.8229j,-3263.02-5743.46j,-3342.44+5697.59j,+1.8376e+06+535681j
2013-08-28 00:31:00 PST,+111.536-31.7136j,-55.658-53.5969j,-24.1317+97.7369j,+6605.37+45.5878j,-3263.17-5743.26j,-3342.19+5697.62j,+1.86226e+06+548489j
2013-08-28 00:31:30 PST,+110.717-31.353j,-55.5434-53.5028j,-23.9264+96.9002j,+6605.02+44.8273j,-3263.65-5742.57j,-3341.35+5697.7j,+1.85045e+06+543850j
2013-08-28 00:32:00 PST,+111.881-32.0545j,-54.674-52.8593j,-26.3835+97.2373j,+6605.43+45.1262j,-3263.6-5743.08j,-3341.82+5697.91j,+1.8618e+06+532887j
2013-08-28 00:32:30 PST,+116.778-34.5944j,-53.5192-52.1196j,-26.3172+96.212j,+6605.39+45.0981j,-3263.6-5743.04j,-3341.78+5697.89j,+1.87994e+06+542608j
2013-08-28 00:33:00 PST,+115.949-34.2159j,-53.4716-52.0543j,-26.4318+99.9557j,+6604.99+44.2609j,-3264.12-5742.27j,-3340.85+5697.96j,+1.89562e+06+551594j
2013-08-28 00:33:30 PST,+116.637-34.5952j,-54.3343-52.5727j,-24.2412+102.317j,+6604.76+44.3701j,-3263.92-5742.13j,-3340.83+5697.7j,+1.91201e+06+577774j
2013-08-28 00:34:00 PST,+113.988-33.3241j,-52.2236-51.1152j,-23.9908+99.1528j,+6604.86+44.5866j,-3263.78-5742.32j,-3341.07+5697.68j,+1.86045e+06+552823j
2013-08-28 00:34:30 PST,+113.041-32.8052j,-50.9217-50.2628j,-23.725+95.1434j,+6605.05+45.0859j,-3263.44-5742.74j,-3341.6+5697.59j,+1.82135e+06+532932j
2013-08-28 00:35:00 PST,+116.951-34.748j,-52.0057-51.1274j,-24.9694+92.7009j,+6604.96+47.0948j,-3261.65-5743.67j,-3343.3+5696.52j,+1.84566e+06+534649j
2013-08-28 00:35:30 PST,+114.623-33.7252j,-53.6325-52.1852j,-25.2333+98.0333j,+6604.86+46.8253j,-3261.84-5743.45j,-3343.01+5696.57j,+1.87296e+06+549916j
2013-08-28 00:36:00 PST,+115.763-34.3036j,-53.2568-51.8342j,-24.0793+101.591j,+6604.51+46.431j,-3262.01-5742.95j,-3342.49+5696.45j,+1.89356e+06+571103j
2013-08-28 00:36:30 PST,+113.052-32.9813j,-54.3284-52.5248j,-24.1877+102.679j,+6604.26+45.9009j,-3262.34-5742.46j,-3341.9+5696.5j,+1.88971e+06+568988j
2013-08-28 00:37:00 PST,+111.089-31.9894j,-53.4115-51.8237j,-23.8654+94.2131j,+6604.33+46.0435j,-3262.25-5742.59j,-3342.06+5696.49j,+1.82048e+06+532958j
2013-08-28 00:37:30 PST,+115.099-34.008j,-53.3164-51.7449j,-23.9862+95.84j,+6604.88+47.2846j,-3261.45-5743.69j,-3343.42+5696.35j,+1.85584e+06+551330j
2013-08-28 00:38:00 PST,+111.937-32.5406j,-51.6572-50.5259j,-23.5625+90.1756j,+6604.64+46.7501j,-3261.8-5743.22j,-3342.84+5696.41j,+1.7889e+06+519246j
2013-08-28 00:38:30 PST,+115.438-34.371j,-51.9646-50.8519j,-23.6094+91.1191j,+6605.03+47.7172j,-3261.15-5744.04j,-3343.88+5696.26j,+1.82038e+06+535387j
2013-08-28 00:39:00 PST,+120.023-36.8442j,-53.7888-52.0064j,-23.6241+93.4397j,+6604.63+46.839j,-3261.71-5743.26j,-3342.92+5696.36j,+1.87635e+06+566048j
2013-08-28 00:39:30 PST,+116.79-35.1578j,-51.8128-50.7026j,-23.6246+94.2351j,+6604.65+46.9169j,-3261.65-5743.32j,-3342.99+5696.34j,+1.84568e+06+550341j
2013-08-28 00:40:00 PST,+113.805-33.6814j,-54.9146-52.6608j,-23.5216+94.6563j,+6605.14+48.9725j,-3260.12-5744.75j,-3345.01+5695.73j,+1.84941e+06+554488j
2013-08-28 00:40:30 PST,+109.535-31.5248j,-53.9365-52.0358j,-23.5183+94.8757j,+6605.28+49.3784j,-3259.84-5745.08j,-3345.43+5695.65j,+1.81578e+06+537328j
2013-08-28 00:41:00 PST,+111.543-32.6139j,-55.104-52.7525j,-23.4069+92.2583j,+6605.36+49.5576j,-3259.73-5745.24j,-3345.63+5695.63j,+1.82164e+06+540926j
2013-08-28 00:41:30 PST,+111.534-32.751j,-54.1303-52.125j,-23.4729+94.6989j,+6605.38+49.638j,-3259.67-5745.3j,-3345.71+5695.61j,+1.82892e+06+546096j
2013-08-28 00:42:00 PST,+112.217-33.0288j,-50.8235-49.9576j,-23.4852+93.9174j,+6605.18+49.2214j,-3259.92-5744.92j,-3345.25+5695.64j,+1.80575e+06+533216j
2013-08-28 00:42:30 PST,+111.249-32.6104j,-52.5589-51.0936j,-23.4308+94.9503j,+6605.42+49.7524j,-3259.59-5745.39j,-3345.82+5695.58j,+1.81729e+06+540602j
2013-08-28 00:43:00 PST,+112.459-33.2594j,-52.5664-51.0562j,-23.4118+93.3556j,+6605.24+49.3668j,-3259.83-5745.04j,-3345.41+5695.62j,+1.8159e+06+539767j
2013-08-28 00:43:30 PST,+110.414-32.2446j,-52.6207-51.1163j,-23.4225+93.6429j,+6605.41+49.7576j,-3259.58-5745.38j,-3345.82+5695.57j,+1.80465e+06+534100j
2013-08-28 00:44:00 PST,+106.953-30.4139j,-51.5237-50.3802j,-23.4414+94.1796j,+6605.49+49.9188j,-3259.48-5745.53j,-3346+5695.56j,+1.7772e+06+519668j
2013-08-28 00:44:30 PST,+102.903-28.3234j,-49.9728-49.2873j,-26.201+99.2606j,+6605.77+49.8906j,-3259.65-5745.76j,-3346.1+5695.82j,+1.77747e+06+501604j
2013-08-28 00:45:00 PST,+108.428-31.1497j,-49.8321-49.1639j,-26.1874+100.122j,+6604.54+51.7857j,-3257.39-5745.64j,-3347.13+5693.81j,+1.81704e+06+523533j
2013-08-28 00:45:30 PST,+110.714-32.2327j,-51.4709-50.2202j,-26.0833+99.0528j,+6604+50.5763j,-3258.16-5744.57j,-3345.82+5693.94j,+1.83699e+06+533413j
2013-08-28 00:46:00 PST,+115.197-34.5661j,-51.4775-50.2199j,-23.4737+96.1484j,+6603.8+50.8246j,-3257.85-5744.53j,-3345.95+5693.65j,+1.84115e+06+554284j
2013-08-28 00:46:30 PST,+115.857-34.9151j,-53.1133-51.2659j,-23.3568+92.7122j,+6603.79+50.8104j,-3257.85-5744.51j,-3345.94+5693.65j,+1.83687e+06+551776j
2013-08-28 00:47:00 PST,+113.882-33.8656j,-53.6795-51.5699j,-23.4578+93.3154j,+6603.88+50.9774j,-3257.75-5744.67j,-3346.12+5693.64j,+1.83126e+06+548503j
2013-08-28 00:47:30 PST,+116.82-35.4228j,-51.8184-50.1541j,-23.338+91.4962j,+6603.76+50.7415j,-3257.9-5744.46j,-3345.87+5693.65j,+1.82561e+06+547378j
2013-08-28 00:48:00 PST,+113.275-33.6656j,-51.8645-50.1981j,-23.3249+94.0493j,+6603.93+51.2019j,-3257.58-5744.83j,-3346.34+5693.56j,+1.8172e+06+544472j
2013-08-28 00:48:30 PST,+113.184-33.6693j,-52.5883-50.6306j,-23.4393+96.3887j,+6604.01+51.4063j,-3257.45-5745j,-3346.55+5693.54j,+1.83515e+06+554481j
2013-08-28 00:49:00 PST,+112.545-33.5022j,-54.9846-52.1805j,-23.6297+99.2832j,+6603.83+51.007j,-3257.7-5744.64j,-3346.11+5693.58j,+1.86474e+06+570536j
2013-08-28 00:49:30 PST,+110.889-32.6628j,-54.9474-52.1282j,-23.4019+95.1316j,+6603.67+50.6875j,-3257.9-5744.34j,-3345.76+5693.6j,+1.82901e+06+552169j
2013-08-28 00:50:00 PST,+105.753-30.0427j,-53.1606-50.987j,-23.4816+96.8984j,+6605+53.0321j,-3256.54-5746.66j,-3348.44+5693.58j,+1.79336e+06+534260j
2013-08-28 00:50:30 PST,+105.885-30.1881j,-52.1179-50.3158j,-23.1791+91.9845j,+6605.4+53.9601j,-3255.93-5747.47j,-3349.45+5693.46j,+1.75801e+06+516967j
2013-08-28 00:51:00 PST,+108.778-31.6852j,-51.1353-49.638j,-23.2102+91.9094j,+6605.49+54.1769j,-3255.79-5747.66j,-3349.69+5693.43j,+1.76963e+06+523210j
2013-08-28 00:51:30 PST,+112.61-33.6836j,-49.6627-48.5866j,-23.0271+88.8019j,+6605.2+53.5582j,-3256.18-5747.11j,-3349.02+5693.49j,+1.76566e+06+522024j
2013-08-28 00:52:00 PST,+105.973-30.2591j,-47.6073-47.228j,-23.0971+90.1842j,+6605.59+54.4522j,-3255.6-5747.88j,-3349.98+5693.38j,+1.71565e+06+496149j
2013-08-28 00:52:30 PST,+102.724-28.5861j,-48.4338-47.783j,-22.9626+89.0497j,+6605.79+54.8944j,-3255.32-5748.28j,-3350.46+5693.33j,+1.69327e+06+484959j
2013-08-28 00:53:00 PST,+105.142-29.8563j,-50.7332-49.2838j,-23.1543+95.5432j,+6605.61+54.5344j,-3255.54-5747.94j,-3350.05+5693.35j,+1.76288e+06+522367j
2013-08-28 00:53:30 PST,+105.229-29.9017j,-51.5586-49.8057j,-23.2963+98.6987j,+6605.14+53.4883j,-3256.21-5747.01j,-3348.9+5693.47j,+1.78752e+06+535159j
2013-08-28 00:54:00 PST,+107.438-31.0538j,-51.5185-49.7514j,-23.2226+96.6544j,+6604.99+53.1537j,-3256.43-5746.72j,-3348.55+5693.51j,+1.78971e+06+536305j
2013-08-28 00:54:30 PST,+112.83-33.9839j,-49.13-48.1528j,-23.1416+95.5541j,+6604.85+52.8761j,-3256.59-5746.47j,-3348.25+5693.53j,+1.80166e+06+544116j
2013-08-28 00:55:00 PST,+114.831-35.0335j,-49.8098-48.5647j,-23.0248+91.5403j,+6604.06+52.7143j,-3256.34-5745.71j,-3347.72+5692.93j,+1.79595e+06+540839j
2013-08-28 00:55:30 PST,+116.087-35.7915j,-49.0935-48.1267j,-22.9098+89.3999j,+6604.34+53.3462j,-3255.93-5746.27j,-3348.41+5692.85j,+1.78681e+06+536905j
2013-08-28 00:56:00 PST,+112.864-34.0666j,-50.3311-48.9087j,-22.9229+91.0809j,+6604.26+53.2139j,-3256.01-5746.12j,-3348.25+5692.85j,+1.78375e+06+535418j
2013-08-28 00:56:30 PST,+106.527-30.7566j,-54.1711-51.4388j,-22.891+90.8731j,+6604.35+53.3969j,-3255.9-5746.28j,-3348.45+5692.84j,+1.76784e+06+526587j
2013-08-28 00:57:00 PST,+105.16-30.0016j,-52.1902-49.9975j,-22.8858+90.9153j,+6604.93+54.6761j,-3255.08-5747.42j,-3349.84+5692.7j,+1.74439e+06+515390j
2013-08-28 00:57:30 PST,+106.891-31.0371j,-51.0239-49.2509j,-22.907+90.1111j,+6605.02+54.9204j,-3254.91-5747.63j,-3350.1+5692.66j,+1.74318e+06+515310j
2013-08-28 00:58:00 PST,+109.833-32.5689j,-50.7836-49.1004j,-22.9125+90.0543j,+6604.84+54.5388j,-3255.15-5747.28j,-3349.68+5692.69j,+1.76055e+06+524361j
2013-08-28 00:58:30 PST,+108.053-31.7318j,-51.5894-49.5738j,-22.7596+87.9716j,+6604.65+54.113j,-3255.43-5746.9j,-3349.22+5692.74j,+1.7418e+06+515592j
2013-08-28 00:59:00 PST,+105.643-30.5225j,-49.6273-48.2696j,-22.9022+90.8683j,+6604.73+54.3335j,-3255.28-5747.08j,-3349.44+5692.7j,+1.72904e+06+509397j
2013-08-28 00:59:30 PST,+110.336-32.9638j,-48.4544-47.4857j,-22.9958+94.5175j,+6604.42+53.6659j,-3255.69-5746.48j,-3348.71+5692.76j,+1.77263e+06+533073j
2013-08-28 01:00:00 PST,+106.66-31.1362j,-47.5133-46.8664j,-23.0737+96.598j,+6604.38+53.7114j,-3255.64-5746.47j,-3348.72+5692.7j,+1.75392e+06+523945j
2013-08-28 01:00:30 PST,+109.929-32.6359j,-47.7621-47.0178j,-22.7196+91.2095j,+6605+55.9415j,-3254.01-5748.13j,-3350.98+5692.12j,+1.74525e+06+519574j
2013-08-28 01:01:00 PST,+108.467-31.896j,-49.7732-48.2779j,-22.7933+94.7271j,+6604.54+54.9244j,-3254.67-5747.21j,-3349.86+5692.23j,+1.76964e+06+533122j
2013-08-28 01:01:30 PST,+109.544-32.4871j,-48.7279-47.561j,-22.4882+91.9106j,+6604.3+54.3892j,-3255.01-5746.74j,-3349.28+5692.3j,+1.75212e+06+525553j
2013-08-28 01:02:00 PST,+107.787-31.5884j,-48.6535-47.5003j,-22.303+90.4429j,+6605.04+56.1797j,-3253.83-5748.28j,-3351.2+5692.04j,+1.73106e+06+515957j
2013-08-28 01:02:30 PST,+108.11-31.7558j,-48.5867-47.4773j,-22.4246+93.4841j,+6604.48+54.8963j,-3254.66-5747.15j,-3349.81+5692.2j,+1.7505e+06+525886j
2013-08-28 01:03:00 PST,+107.805-31.6151j,-49.6199-48.1304j,-22.4644+91.8648j,+6604.56+55.0932j,-3254.53-5747.32j,-3350.02+5692.17j,+1.74654e+06+523160j
2013-08-28 01:03:30 PST,+108.911-32.2764j,-50.2591-48.5463j,-22.4782+91.5802j,+6604.49+54.9116j,-3254.66-5747.17j,-3349.83+5692.2j,+1.7567e+06+528824j
2013-08-28 01:04:00 PST,+107.049-31.2513j,-50.4946-48.6723j,-22.4493+90.4843j,+6604.3+54.4838j,-3254.93-5746.78j,-3349.36+5692.25j,+1.73959e+06+519260j
2013-08-28 01:04:30 PST,+107.644-31.676j,-48.5523-47.406j,-22.5631+92.1931j,+6604.73+55.4373j,-3254.32-5747.64j,-3350.4+5692.14j,+1.74006e+06+520417j
2013-08-28 01:05:00 PST,+107.486-31.5778j,-50.1158-48.3934j,-22.3738+88.7061j,+6604.9+56.8416j,-3253.19-5748.49j,-3351.71+5691.59j,+1.72923e+06+515309j
2013-08-28 01:05:30 PST,+105.161-30.2752j,-51.709-49.4117j,-22.2662+85.212j,+6604.79+56.5635j,-3253.37-5748.24j,-3351.41+5691.63j,+1.70473e+06+501240j
2013-08-28 01:06:00 PST,+105.913-30.7143j,-50.8735-49.0543j,-22.4004+87.5221j,+6604.86+56.6747j,-3253.32-5748.36j,-3351.54+5691.64j,+1.71851e+06+507556j
2013-08-28 01:06:30 PST,+107.591-31.6015j,-49.7955-48.3463j,-22.3591+87.3984j,+6604.93+56.839j,-3253.2-5748.51j,-3351.72+5691.61j,+1.72113e+06+509486j
2013-08-28 01:07:00 PST,+106.251-31.032j,-49.9706-48.4602j,-22.4885+89.393j,+6604.72+56.3922j,-3253.49-5748.1j,-3351.22+5691.66j,+1.7253e+06+512100j
2013-08-28 01:07:30 PST,+107.296-31.4852j,-49.0515-47.8792j,-22.5477+91.8414j,+6604.75+56.5093j,-3253.4-5748.19j,-3351.34+5691.63j,+1.73998e+06+519661j
2013-08-28 01:08:00 PST,+110.443-33.1598j,-47.1589-46.5855j,-22.6292+93.2307j,+6604.42+55.7156j,-3253.92-5747.51j,-3350.49+5691.73j,+1.75523e+06+528185j
